nome,cidade,estado,bairro,endereco_completo,cep,email,latitude,longitude
CRAS MARIO LUCIANO ALVES,Abadia de Goiás,GO,Parque Isabel,"Campinas, S/N",75345000,crasabadia@abadiadegoias.go.gov.br,-16.7593241683288,-49.4389700889587
CRAS Casa das Famílias,Abadia dos Dourados,MG,Vila Duarte,"Ilidio Duarte, 10",38540000,crasabadia@gmail.com,-184.826718900732,-474.03076887130703
Centro de Referência da Assistência Social,Abadiânia,GO,Centro,"Jose Gomes Pereira, S/N",72940000,crasabadiania@gmail.com,-16.19361603937,-48.7043023109436
CRAS CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - ANGÈLICA,Abaetetuba,PA,ANGÉLICA,"DEOCLECIANO TOCANTINS VIANA, 2232",68440000,crasangelica@yahoo.com.br,-171.986018934382,-488.67371082669695
CRAS CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - SÃO SEBASTIÃO,Abaetetuba,PA,SÂO SEBASTIÂO,"HILDO CARVALHO, S/N",68440000,saosebastiaocras@gmail.com,-173.633576089589,-488.74324559583295
CRAS CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL ALGODOAL,Abaetetuba,PA,ALGODOAL,"JAIRLANDIA, 659",68440000,algodoalcras@yahoo.com,-173.05984605016,-488.90323638734094
CRAS CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - BEJA,Abaetetuba,PA,VILA DE BEJA,"JOÃO BATISTA FIGUEIREDO, 917",68440000,crasbeja2017@gmail.com,-162.171550659863,-0.48812615275383
CRAS CENTRO DE REFERÊNCIA DE ASISTÊNCIA SOCIAL - SÂO LOURENÇO,Abaetetuba,PA,SÂO LOURENÇO,"LAURO SODRE, 1888",68440000,saolourencocras@gmail.com,-17.2098120469713,-48.885323524737
CRAS CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL RIBEIRINHO QUILOMBOLA,Abaetetuba,PA,ESTRADA,"RAMAL ITACURUÇÁ BAIXO, S/N",68440000,crasquilombola2017@outlook.com,-184.86095449954,-48.9255008666077
CRAS CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL RIBEIRINHO POLO 07,Abaetetuba,PA,ILHAS,"RIO QUIANDUBA, S/N",68440000,craspolo07@outlook.com,-176.287296205018,-489.991092681884
CRAS CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL RIBIEIRNHO POLO 04,Abaetetuba,PA,ILHAS,"RIO URUBUÉU CABECEIRA, 100",68440000,crasrpolo04@gmail.com,-16.7394088889131,-48.9364013797603
CRAS Abaeté,Abaeté,MG,São João,"Joaquim Pereira, 671",35620000,crasabaete@yahoo.com.br,-1.9147849e-07,-4.54593377e-06
CRAS II,Abaiara,CE,Vila São José,"CE, 393, SITIO BREJINHO, S/N",63240000,josecras054@gmail.com,-73.4916619087368,-390.334904193878
CRAS I - SEDE,Abaiara,CE,CENTRO,"JOAQUIM LEITE DA CUNHA, 268",63240000,crassedeabaiara2017@gmail.com,-73.6121189004119,-390.51020741444495
CRAS,Abaré,BA,CENTRO,"Maria das Mercês Alexandre, 51",48680000,cras-abare@outlook.com,-87.2563302290173,-39.1157269477844
CRAS,Abatiá,PR,CENTRO,"SÃO MARCOS, S/N",86460000,assistenciasocialabatia@gmail.com,-23.3047821855897,-503.119832821335
CRAS - CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL,Abaíra,BA,CENTRO,"ALVIDES MOREIRA NEVES, 62",46690000,cras.abaira@gmail.com,-132.503053874444,-416.667222976684
CRAS,Abdon Batista,SC,CENTRO,"Avenida 26 de Abril, S/N",89636000,cras@abdonbatista.sc.gov.br,-27.6081807621153,-51.0273742675781
CRAS,Abel Figueiredo,PA,CENTRO,"RUA SÃO SEBASTIÃO, 643",68527000,assistenciaabel@gmail.com,-49.4694170817048,-48.3973294496718
CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL,Abelardo Luz,SC,ALVORADA,"EGIDIO JOAO GUERRA, 620",89830000,cras@abelardoluz.sc.gov.br,-2.6565e-10,-5.2328e-10
CRAS,Abre Campo,MG,Cachoeira da Conquista,"CRAS, 1004",35365000,cras@abrecampo.mg.gov.br,-202.931335733506,-424.79538917541504
CRAS I,Abreu e Lima,PE,Caetés I,"Rua 186, 165",53530468,crasabreu52@yahoo.com,-791.7920871270419,-349.308371543884
CRAS Centro de Referência de Assistência Social,Abreulândia,TO,CENTRO,"JOSE LOPES DE FIGUEREDO, S/N",77693000,crasabreu@hotmail.com,-96.2349308588836,-49.1550207138061
CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL DE ACAIACA - CRAS,Acaiaca,MG,CENTRO,"Avenida Ezequiel Machado,136, 136",35438000,crasacaiaca@yahoo.com.br,-20.360319051624,-43.138278722763
CRAS,Acajutiba,BA,Centro,"Saturnino de Menezes, S/N",48360000,crasacajutibaba@gmail.com,-116.6671568006,-380.174331675516
CRAS sede,Acarape,CE,Centro,"CHICO VIEIRA, S/N",62785000,smacaosocial2021@gmail.com,-4.22433752499484,-38.7080097198486
CRAS II,Acaraú,CE,MORADA NOVA,"Avenida Padre Antônio Tomás, 2540",62580000,cras2acarau@hotmail.com,-29.1367157148505,-40.1192808151245
CRAS SAMUEL ANDERSON FERREIRA DOS SANTOS,Acaraú,CE,CENTRO,"SANTO ANTONIO, 1178",62580000,cras01.acarau@gmail.com,-288.256023809055,-401.22123956680304
CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL,Acari,RN,Petrópolis,"Pedro Estevam de Medeiros, 75",59370000,cras.rn.acari@gmail.com,-64.4370579704234,-366.38706922531105
CRAS ALEGRIA,Acará,PA,alegria,"ACARA MOJU, KM01 S/N, S/N",68690000,crasalegria2020@outlook.com,-195.97320143288,-48.2060572504815
CRAS QUILOMBOLA,Acará,PA,ZONA RURAL,"ALÇA VIÁRIA KM 32, S/N",68690000,crasquilombola@yahoo.com.br,-159.862515034164,-4.83289647102356
CRAS PANTANAL,Acará,PA,SAO JUDAS,"DEODORO DA FONSECA, S/N",68690000,pantanalcras@gmail.com,-196.046233969827,-48.1971073150634
CRAS - CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL,Acauã,PI,CENTRO,"BONIFACIO SEVERO COELHO, 443",64748000,crasacaua@gmail.com,-82.2440262256866,-410.81657409667906
CRAS II -Antônio Francisco do Nascimento,Acopiara,CE,Vila Nova,"Cicero Mandu, 170",63560000,cras2.acopiara@hotmail.com,-6.095e-11,-3.9453e-10
CRAS I - Raimunda  Isabel Duarte,Acopiara,CE,Vila Esperança,"Francisco Pereira de Souza, 45",63560000,crasacopiara@hotmail.com,-6.095e-11,-3.9453e-10
CRAS III- Maria Ramos Barros,Acopiara,CE,Vila Moreira,"Manoel Ferreira de Andrade, 815",63560000,crasacopiara3@hotmail.com,-6.09496888574475,-394.52861845493294
CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL CARLINA ROSA DE ARRUDA,Acorizal,MT,NOVA ACORIZAL,"NOSSA SENHORA DE BROTAS, S/N",78480000,acorisocial@yahoo.com.br,-151.96899303244,-5.63696050643921
CRAS  ARCO-ÍRIS,Acrelândia,AC,CENTRO,"PARANA, 473",69945000,crasarcoiris@hotmail.com,-1.00781291e-06,-6.70557953e-06
CRAS - CENTRO DE GERAÇÃO DE RENDA CELIA APARECIDA DE SOUZA MARTINS,Acreúna,GO,SETOR SUL,"JOÃO ALTINO ARANTES, 103",75960000,crasacreuna@gmail.com,-173.995560299066,-50.3730461597115
CRAS - Centro de Referencia de Assistência Social,Adamantina,SP,Centro,"Joaquim Nabuco, 402",17800000,cras@adamantina.sp.gov.br,-2.1685e-10,-5.1073e-10
CRAS ADELIA DE ASSIS,Adelândia,GO,SETOR OURO PRETO,"JOÃO AFONSO QD.05 LT. 1/14, 1",76155000,cras_adelandia@hotmail.com,-1.6415e-10,-5.0166e-10
CRAS,Adolfo,SP,CENTRO,"ZENI AZEVEDO DE CORDEIRO, 959",15230000,cras@adolfo.sp.gov.br,-212.320221978376,-496.42302989959694
CRAS JOSÉ CÂNDIDO BAPTISTA CARVALHO,Adrianópolis,PR,Vila Bela,"Januário Plaster Trannin, 47",83490000,scfvsemearzinho@gmail.com,-24.6676103719371,-48.9864063262939
CRAS FAMILIA E COMUNIDADE,Adustina,BA,CONJUNTO,"JOSÉ CARLOS ALELUIA, 121",48435000,crasadustina@outlook.com,-105.349290213146,-38.1134459105851
CRAS - CASA DAS FAMÍLIAS,Afogados da Ingazeira,PE,Padre Pedro Pereira,"Bela Vista, 160",56800000,cras_afogados@hotmail.com,-77.4308701604702,-3.76465588807605
Casa das Famílias - CRAS,Afonso Bezerra,RN,CENTRO,"BATISTA MONTENEGRO, S/N",59510000,smasafonsobezerra@rn.gov.br,-55.0121455332008,-365.01098871231
Casa das Famílias,Afonso Cláudio,ES,AMANCIO PIMENTA,"JOAO BATISTA ARAUJO, S/N",29600000,cras@afonsoclaudio.es.gov.br,-200.836590400027,-41.1249643564224
CRAS Conceição Crispim,Afonso Cunha,MA,CAMPO VELHO,"PREFEITO JOSÉ MARTINS DE MOURA, S/N",65505000,cras.afonsocunha@gmail.com,-4.21479011321025,-4.32974302178104
CENTRO DE REFERÊNCIA DA ASSISTÊNCIA SOCIAL,Afrânio,PE,CENTRO,"Cel Clementino Coelho, 364",56360000,crasafranio@gmail.com,-85.1389382556031,-410.055255889892
CASA DA FAMÍLIA,Afuá,PA,Capim Marinho,"Marcionilo de Oliveira, 130",68890000,crasafua06@gmail.com,-16.06962958209041,-50.3855109214782
CRAS INÊS GUILHERME DE AZEVEDO LIRA,Agrestina,PE,CENTRO,"REGINALDO PEREIRA, S/N",55495000,crasinesagrestina@outlook.com,-84.4576982293929,-35.9536256795399
CENTRO DE REFERÊNCIA DA ASSISTÊNCIA SOCIAL DE AGRICOLÂNDIA,Agricolândia,PI,CENTRO,"RAIMUNDO FERREIRA NUNES, 397",64440000,agricolandia@hotmail.com,-0.57978611279759,-42.6606935263822
